,corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
0,abcd,99,871,3,0
1,asdf,1243,0,10,0
2,xyzz,0,25,11,1
3,acme,813,129,9,1
4,qwer,2989,9982,90,0
5,tyui,395,190,99,0
6,zxcv,19028,999,81,0
7,hjkl,345,78,2,1
8,lmno,1024,14,3,1
9,qqqq,2145,182,110,1
10,corp,3891,101,998,0
11,ekci,10983,0,1200,0
12,dosk,118,929,81,1
13,endi,1992,19,2,0
14,gudj,455,94,298,1
15,nciw,45,0,99,1
16,lsid,36,234,541,0
17,pwls,23,555,23,0
18,bqlx,15,11,190,1
19,zmei,100,2929,999,1
20,wosl,2,1,1359,0
21,xcvb,0,14,282,1
22,dfgh,500,40,949,0
23,ngrd,1234,103,3782,1
24,xful,98765,7,655,0
25,kshe,34,2345,18,1
