Package            Version   Latest   Type
------------------ --------- -------- -----
aiobotocore        2.1.1     2.1.2    sdist
aioitertools       0.9.0     0.10.0   wheel
altair             4.1.0     4.2.0    wheel
asyncssh           2.8.1     2.9.0    wheel
awscli             1.22.58   1.22.68  wheel
boto3              1.20.24   1.21.13  wheel
botocore           1.24.3    1.24.13  wheel
click              8.0.3     8.0.4    wheel
cmdstanpy          0.9.5     1.0.1    wheel
Cython             0.29.27   0.29.28  wheel
dask               2022.2.0  2022.2.1 wheel
distributed        2022.2.0  2022.2.1 wheel
docutils           0.15.2    0.18.1   wheel
dvc                2.9.4     2.9.5    wheel
executing          0.8.2     0.8.3    wheel
fastapi            0.73.0    0.75.0   wheel
filelock           3.4.2     3.6.0    wheel
Flask              0.12.2    2.0.3    wheel
fsspec             2022.1.0  2022.2.0 wheel
GitPython          3.1.26    3.1.27   wheel
grandalf           0.6       0.7      wheel
holidays           0.12      0.13     wheel
httptools          0.3.0     0.4.0    wheel
importlib-metadata 4.11.0    4.11.2   wheel
ipykernel          6.9.0     6.9.1    wheel
ipython            8.0.1     8.1.1    wheel
itsdangerous       2.0.1     2.1.0    wheel
jupyter-core       4.9.1     4.9.2    wheel
jupyterlab         3.2.9     3.3.0    wheel
lxml               4.7.1     4.8.0    sdist
mailchecker        4.1.12    4.1.13   sdist
markdown2          2.3.5     2.4.2    wheel
MarkupSafe         2.0.1     2.1.0    wheel
mistune            0.8.4     2.0.2    wheel
mlflow             1.23.1    1.24.0   wheel
nbclassic          0.3.5     0.3.6    wheel
nbclient           0.5.10    0.5.11   wheel
networkx           2.6.3     2.7.1    wheel
phonenumbers       8.12.43   8.12.44  wheel
platformdirs       2.5.0     2.5.1    wheel
pmdarima           1.8.4     1.8.5    sdist
prettytable        3.1.0     3.1.1    wheel
prompt-toolkit     3.0.27    3.0.28   wheel
pyDeprecate        0.3.1     0.3.2    wheel
pygit2             1.8.0     1.9.0    wheel
pystan             2.19.1.1  3.4.0    wheel
python-slugify     6.0.1     6.1.1    wheel
PyYAML             5.4.1     6.0      sdist
regex              2022.1.18 2022.3.2 wheel
reportlab          3.6.6     3.6.8    wheel
rsa                4.7.2     4.8      wheel
s3fs               2022.1.0  2022.2.0 wheel
s3transfer         0.5.1     0.5.2    wheel
salesforce-merlion 1.1.1     1.1.2    wheel
scmrepo            0.0.7     0.0.9    wheel
stack-data         0.1.4     0.2.0    wheel
starlette          0.17.1    0.18.0   wheel
terminado          0.13.1    0.13.2   wheel
testpath           0.5.0     0.6.0    wheel
tqdm               4.62.3    4.63.0   wheel
typing_extensions  4.0.1     4.1.1    wheel
websocket-client   1.2.3     1.3.1    wheel
websockets         10.1      10.2     wheel
xhtml2pdf          0.2.2     0.2.5    sdist
zict               2.0.0     2.1.0    wheel
